"leaguage_id","home_team_id","away_team_id","season_id","home_sum_pkt_home_away_last_5","home_total_rows_home_away_last_5","away_sum_pkt_home_away_last_5","away_total_rows_home_away_last_5","sum_pkt_home_all","total_rows_home_all","sum_pkt_away_all","total_rows_away_all","sum_pkt_home_last_5","total_rows_home_last_5","sum_pkt_away_last_5","total_rows_away_last_5","type_1","type_0","type_2","type_10","type_02","type_12","home_value","home_players","away_value","away_players","ht_home_score","ht_away_score","ft_home_score","ft_away_score","ht_points","ft_points","bts","goals_2_5","tg"
6,18,1,1,6,5,6,5,3,7,6,6,3,5,3,5,2.6,3.25,2.91,1.44,1.54,1.37,11130000.00,36,13750000.00,36,0,0,0,2,1,0,0,0,2
6,6,13,1,9,5,9,5,0,5,12,7,0,5,9,5,1.96,3.65,3.95,1.28,1.9,1.31,10500000.00,27,6450000.00,29,0,0,1,0,1,3,0,0,1
6,5,12,1,6,5,12,5,9,7,9,6,9,5,9,5,2.95,3.26,2.57,1.55,1.44,1.37,32330000.00,30,33430000.00,28,0,0,1,2,1,0,1,1,3
6,11,16,1,9,5,6,5,9,7,12,7,9,5,9,5,2.25,3.25,3.6,1.33,1.71,1.38,8050000.00,30,8700000.00,28,0,2,2,3,0,0,1,1,5
6,13,18,1,6,5,9,5,9,7,9,7,6,5,6,5,2.98,3.45,2.4,1.6,1.42,1.33,6450000.00,29,11130000.00,37,0,0,3,0,1,3,0,1,3
6,7,6,1,3,5,9,5,15,7,9,8,9,5,6,5,1.75,4.0,4.55,1.22,2.13,1.26,18950000.00,27,10500000.00,27,0,0,2,1,1,3,1,1,3
6,9,16,1,9,5,6,5,6,7,15,8,3,5,9,5,2.32,3.16,3.45,1.34,1.65,1.39,12950000.00,31,8700000.00,29,0,1,0,2,0,0,0,0,2
6,1,3,1,9,5,3,5,9,8,0,7,3,5,0,5,2.0,3.6,3.85,1.29,1.86,1.32,13750000.00,37,10980000.00,37,0,0,1,0,1,3,0,0,1
6,10,2,1,3,5,6,5,12,7,6,6,6,5,3,5,1.9,3.7,4.15,1.26,1.96,1.3,19880000.00,30,9800000.00,29,1,1,1,4,1,0,1,1,5
6,12,15,1,15,5,3,5,21,8,6,8,15,5,0,5,1.4,5.15,8.0,1.1,3.15,1.19,33430000.00,28,11630000.00,32,4,1,7,1,3,3,1,1,8
6,8,14,1,9,5,6,5,3,7,6,7,3,5,6,5,2.82,3.28,2.65,1.52,1.47,1.37,9280000.00,34,9780000.00,34,1,0,1,0,3,3,0,0,1
6,17,11,1,3,5,9,5,12,7,9,7,12,5,6,5,2.6,3.35,2.83,1.46,1.53,1.36,9230000.00,27,8050000.00,30,0,2,1,3,0,0,1,1,4
6,5,4,1,6,5,6,5,9,8,6,8,9,5,3,5,1.42,5.0,7.7,1.11,3.05,1.2,32330000.00,30,6850000.00,32,1,0,3,2,3,3,1,1,5
6,16,13,1,6,5,3,5,3,7,12,8,3,5,6,5,1.98,3.42,4.2,1.25,1.89,1.35,8700000.00,29,6450000.00,29,0,0,1,1,1,1,1,0,2
6,15,1,1,6,5,6,5,15,7,9,7,9,5,6,5,2.57,3.35,2.87,1.45,1.55,1.36,11630000.00,32,13750000.00,37,0,0,1,0,1,3,0,0,1
6,4,17,1,6,5,6,5,3,7,12,8,0,5,9,5,2.9,3.4,2.55,1.57,1.46,1.36,6850000.00,32,9230000.00,27,0,0,0,1,1,0,0,0,1
6,2,8,1,6,5,6,5,6,8,0,7,3,5,0,5,1.72,3.8,5.4,1.18,2.23,1.3,9800000.00,29,9280000.00,34,0,2,0,3,0,0,0,1,3
6,3,5,1,3,5,6,5,12,8,9,6,9,5,9,5,3.7,3.6,2.07,1.82,1.31,1.33,10980000.00,37,32330000.00,30,1,1,1,2,1,0,1,1,3
6,18,12,1,6,5,15,5,3,8,12,7,3,5,9,5,5.5,4.3,1.62,2.41,1.18,1.25,11130000.00,37,33430000.00,28,0,2,1,2,0,0,1,1,3
